"region","valår","Moderaterna","Centerpartiet","Folkpartiet","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"0461 Gnesta","2006",26.1,11.3,5.5,5.6,7.3,34.5,4.9,2.5,2.3
"0461 Gnesta","2010",29.5,8.9,5.8,4.0,9.8,28.7,5.7,6.0,1.6
"0480 Nyköping","2002",13.0,6.0,11.3,9.3,4.3,47.4,7.4,0.8,0.6
"0480 Nyköping","2006",23.6,7.3,6.7,7.5,5.2,40.4,4.8,2.4,2.0
"0480 Nyköping","2010",27.9,6.0,7.0,5.4,8.2,34.4,4.8,5.3,1.1
"0481 Oxelösund","2002",9.8,1.9,8.8,5.9,4.7,56.2,11.7,0.5,0.5
"0481 Oxelösund","2006",18.5,3.4,5.7,4.6,4.7,50.7,8.1,2.3,1.9
"0481 Oxelösund","2010",23.1,2.8,5.3,3.3,7.2,44.2,7.8,4.8,1.4
"0482 Flen","2002",12.1,7.5,9.3,8.7,4.5,48.1,7.5,1.0,1.2
"0482 Flen","2006",20.2,8.7,4.9,5.6,4.3,46.5,5.4,2.7,1.7
"0482 Flen","2010",24.2,8.2,4.8,4.9,5.9,38.7,5.5,6.9,0.9
"0483 Katrineholm","2002",10.9,6.0,9.8,7.8,5.0,52.7,5.6,1.2,1.0
"0483 Katrineholm","2006",19.1,6.7,7.2,5.7,5.2,48.0,4.3,2.4,1.5
"0483 Katrineholm","2010",25.0,6.3,6.8,4.3,7.6,38.4,4.6,6.3,0.8
"0484 Eskilstuna","2002",12.2,4.4,12.6,7.6,5.0,47.8,7.8,1.3,1.3
"0484 Eskilstuna","2006",21.6,6.0,6.9,5.8,5.4,44.1,5.4,2.8,2.1
"0484 Eskilstuna","2010",26.2,4.6,6.7,4.4,7.9,35.8,5.4,7.9,1.0
"0486 Strängnäs","2002",18.4,5.4,16.3,9.5,4.5,38.5,5.9,0.5,1.1
"0486 Strängnäs","2006",32.4,7.6,8.3,6.7,4.7,32.5,3.7,2.2,2.0
"0486 Strängnäs","2010",35.2,6.7,7.7,5.4,6.7,26.8,4.2,6.3,1.0
"0488 Trosa","2002",19.0,5.1,13.4,9.3,5.3,41.0,5.5,0.6,0.7
"0488 Trosa","2006",35.2,6.3,7.9,7.0,4.9,31.0,3.4,1.9,2.4
"0488 Trosa","2010",41.3,5.2,7.0,5.4,7.4,23.5,3.5,5.8,1.0
"0509 Ödeshög","2002",12.2,14.0,5.9,18.4,4.6,38.1,5.5,0.3,1.1
"0509 Ödeshög","2006",20.8,12.8,4.0,13.6,3.8,35.7,3.8,2.8,2.6
"0509 Ödeshög","2010",26.5,9.6,3.8,12.4,5.9,31.2,3.8,5.9,0.9
"0512 Ydre","2002",10.4,16.9,8.3,21.4,4.8,33.0,4.3,0.0,0.8
"0512 Ydre","2006",20.3,19.0,4.3,14.4,3.8,30.8,3.6,2.6,1.2
"0512 Ydre","2010",25.5,16.0,5.1,11.3,4.9,28.2,2.9,5.8,0.4
"0513 Kinda","2002",11.1,16.3,8.1,14.4,4.2,38.5,5.8,1.0,0.5
"0513 Kinda","2006",20.8,16.2,3.7,8.4,4.0,38.0,4.2,2.5,2.3
"0513 Kinda","2010",25.0,13.2,5.0,6.7,6.3,32.1,4.7,6.3,0.7
"0560 Boxholm","2002",7.4,11.4,5.9,9.8,3.2,53.4,7.5,0.6,0.8
"0560 Boxholm","2006",13.5,11.2,2.9,8.0,3.0,50.5,5.5,2.5,2.9
"0560 Boxholm","2010",20.2,9.1,3.7,5.1,4.9,45.4,5.7,5.4,0.5
"0561 Åtvidaberg","2002",11.0,9.7,7.7,10.1,3.7,49.0,6.7,0.7,1.4
"0561 Åtvidaberg","2006",19.8,10.3,4.2,7.0,3.1,46.4,4.7,2.2,2.4
"0561 Åtvidaberg","2010",25.2,8.2,4.8,5.1,5.2,41.4,4.4,5.0,0.6
"0562 Finspång","2002",9.7,5.7,8.3,9.6,4.0,51.6,9.5,0.9,0.6
"0562 Finspång","2006",18.0,7.0,4.7,7.0,4.1,47.1,6.6,2.7,2.8
"0562 Finspång","2010",22.2,5.6,4.6,5.8,5.8,43.9,6.1,5.3,0.7
"0563 Valdemarsvik","2002",13.9,15.5,7.7,9.1,3.4,43.4,5.8,0.4,0.8
"0563 Valdemarsvik","2006",22.9,14.7,4.2,6.6,2.7,40.2,4.0,2.5,2.3
"0563 Valdemarsvik","2010",26.2,11.9,4.2,5.2,4.4,37.0,4.1,6.4,0.6
"0580 Linköping","2002",16.0,5.1,15.1,10.7,5.4,38.2,7.0,0.7,1.9
"0580 Linköping","2006",27.4,7.2,8.6,7.7,6.2,32.8,4.8,1.7,3.7
"0580 Linköping","2010",30.6,6.3,8.8,6.4,9.4,27.6,4.7,4.5,1.7
"0581 Norrköping","2002",16.7,3.8,11.6,9.1,5.1,42.3,7.8,1.4,2.2
"0581 Norrköping","2006",26.1,5.6,6.0,6.4,5.5,37.1,5.8,2.8,4.6
"0581 Norrköping","2010",30.2,4.7,6.0,5.2,7.9,32.5,5.7,6.1,1.8
"0582 Söderköping","2002",19.0,10.4,10.3,11.5,5.4,35.3,5.8,1.3,1.1
"0582 Söderköping","2006",28.6,11.7,5.3,7.6,5.3,30.9,4.4,2.7,3.5
"0582 Söderköping","2010",33.7,10.0,5.9,6.6,7.1,26.2,4.2,5.0,1.3
"0583 Motala","2002",10.8,5.1,10.2,9.0,4.1,49.4,7.6,0.4,3.4
"0583 Motala","2006",21.0,6.2,6.1,5.9,4.0,44.1,5.8,2.6,4.3
"0583 Motala","2010",24.0,4.6,6.2,4.6,5.2,42.9,5.5,5.7,1.3
"0584 Vadstena","2002",16.7,6.8,10.2,12.0,4.8,40.7,5.3,0.6,2.8
"0584 Vadstena","2006",27.9,8.1,5.4,8.0,4.2,36.0,4.3,2.6,3.4
"0584 Vadstena","2010",31.1,6.2,6.8,6.7,6.6,32.9,3.9,5.0,0.9
"0586 Mjölby","2002",12.7,8.0,9.9,10.1,3.4,46.4,7.2,0.3,2.1
"0586 Mjölby","2006",21.5,8.6,5.5,7.2,3.2,42.9,4.6,2.0,4.5
"0586 Mjölby","2010",26.0,6.8,6.4,5.7,5.8,37.8,5.1,4.8,1.6
"0604 Aneby","2002",9.2,11.6,7.4,28.3,2.9,34.4,4.3,0.6,1.4
"0604 Aneby","2006",17.6,13.1,4.9,22.0,2.8,31.5,3.2,3.3,1.6
"0604 Aneby","2010",22.6,12.3,5.0,17.7,4.6,26.6,3.0,7.6,0.6
"0617 Gnosjö","2002",12.9,6.6,7.5,30.6,1.9,34.4,3.6,1.5,0.9
"0617 Gnosjö","2006",21.5,7.5,4.0,25.1,2.3,31.7,2.5,3.7,1.8
"0617 Gnosjö","2010",25.3,7.9,4.8,19.1,2.9,29.6,2.7,7.0,0.8
"0642 Mullsjö","2002",12.0,5.3,8.0,25.6,4.3,35.3,7.0,0.8,1.6
"0642 Mullsjö","2006",20.9,7.2,5.0,19.8,4.1,32.6,4.8,3.0,2.8
"0642 Mullsjö","2010",25.6,5.0,5.2,18.8,5.8,27.8,4.8,6.1,0.9
"0643 Habo","2002",14.9,6.1,9.4,23.7,2.9,36.0,5.1,0.4,1.6
"0643 Habo","2006",24.8,7.0,5.6,19.4,3.2,31.7,3.4,3.4,1.5
"0643 Habo","2010",30.3,5.5,6.0,16.3,5.2,27.0,3.1,6.1,0.5
"0662 Gislaved","2002",14.1,10.6,8.9,14.7,2.7,41.4,4.7,1.5,1.3
"0662 Gislaved","2006",25.0,10.5,5.4,10.0,2.7,36.7,3.1,4.6,2.0
"0662 Gislaved","2010",28.4,9.7,5.3,7.6,3.9,34.4,2.9,7.2,0.6
"0665 Vaggeryd","2002",10.7,7.4,6.6,24.8,2.6,40.5,5.0,1.0,1.3
"0665 Vaggeryd","2006",19.8,8.4,4.6,19.1,2.5,37.3,3.5,3.8,1.1
"0665 Vaggeryd","2010",24.6,7.8,4.4,14.8,3.6,33.3,3.3,7.4,0.7
"0680 Jönköping","2002",13.2,4.1,10.7,19.9,3.6,39.7,6.5,1.0,1.3
"0680 Jönköping","2006",22.9,5.8,6.0,17.0,4.1,34.5,5.0,2.6,2.1
"0680 Jönköping","2010",27.9,5.3,6.3,13.5,6.4,29.5,4.8,5.5,0.8
"0682 Nässjö","2002",11.5,7.4,7.1,17.7,3.3,43.5,7.3,0.9,1.2
"0682 Nässjö","2006",19.2,8.0,4.1,14.0,3.5,40.9,5.4,3.2,1.7
"0682 Nässjö","2010",24.1,7.0,4.9,11.0,5.2,34.4,5.0,7.7,0.7
"0683 Värnamo","2002",12.3,8.8,8.8,20.9,2.7,40.1,4.0,1.3,1.0
"0683 Värnamo","2006",22.1,10.6,5.0,15.5,2.8,35.9,3.0,3.8,1.3
"0683 Värnamo","2010",25.1,11.7,4.7,12.6,4.3,31.4,2.9,6.6,0.5
"0684 Sävsjö","2002",12.9,13.6,6.0,25.6,2.2,32.6,4.5,1.4,1.3
"0684 Sävsjö","2006",20.4,13.4,3.8,20.9,1.8,30.4,3.1,4.8,1.4
"0684 Sävsjö","2010",25.0,12.3,4.4,17.7,2.8,25.3,3.0,9.2,0.3
"0685 Vetlanda","2002",11.2,12.2,8.1,19.7,3.0,38.2,5.8,0.8,1.0
"0685 Vetlanda","2006",19.7,13.0,5.5,14.4,3.2,35.9,4.4,2.7,1.3
"0685 Vetlanda","2010",25.3,11.4,5.5,11.3,4.5,30.4,4.3,6.6,0.6
"0686 Eksjö","2002",13.2,11.3,9.0,19.4,3.6,37.1,4.9,0.8,0.8
"0686 Eksjö","2006",23.9,12.2,5.6,13.9,3.7,32.7,3.7,2.8,1.6
"0686 Eksjö","2010",28.6,11.1,6.0,11.2,5.2,27.7,3.6,5.8,0.7
"0687 Tranås","2002",13.0,5.6,8.5,17.8,3.5,43.8,6.2,0.4,1.3
"0687 Tranås","2006",22.0,6.9,5.3,12.5,3.8,40.2,4.6,2.9,1.8
"0687 Tranås","2010",26.8,6.4,5.4,9.6,6.3,34.8,3.9,6.4,0.5
"0760 Uppvidinge","2002",10.6,15.9,6.8,9.0,2.7,43.4,8.9,2.4,0.3
"0760 Uppvidinge","2006",20.5,15.9,3.4,6.5,2.7,37.8,6.0,5.7,1.5
"0760 Uppvidinge","2010",25.6,14.3,4.0,5.3,3.7,32.6,5.0,9.1,0.4
"0761 Lessebo","2002",10.1,8.1,7.5,6.5,3.6,53.2,9.4,1.2,0.4
"0761 Lessebo","2006",18.2,9.6,4.0,4.1,3.5,48.2,7.6,3.0,1.9
"0761 Lessebo","2010",24.1,7.5,4.4,3.0,5.7,41.6,5.7,7.6,0.4
"0763 Tingsryd","2002",14.9,17.7,6.2,11.9,3.3,36.5,6.0,2.2,1.2
"0763 Tingsryd","2006",26.2,15.9,4.2,7.6,2.9,33.7,4.0,3.9,1.6
"0763 Tingsryd","2010",30.4,15.3,4.0,5.8,3.8,29.4,3.5,7.3,0.5
"0764 Alvesta","2002",13.0,13.6,8.8,11.2,3.3,40.2,7.2,2.2,0.7
"0764 Alvesta","2006",24.1,13.0,5.1,7.5,3.2,36.9,4.4,3.8,2.0
"0764 Alvesta","2010",30.3,11.2,4.7,5.4,4.3,31.0,4.5,7.8,0.8
"0765 Älmhult","2002",14.8,11.4,8.7,10.7,3.3,44.5,4.7,1.3,0.5
"0765 Älmhult","2006",24.4,12.7,4.9,7.9,3.5,37.5,3.4,4.7,1.1
"0765 Älmhult","2010",29.9,11.0,4.8,5.9,5.5,31.5,3.3,7.3,0.9
"0767 Markaryd","2002",11.8,10.0,6.6,16.1,2.6,44.2,5.0,3.0,0.8
"0767 Markaryd","2006",19.8,10.4,3.7,12.6,2.4,41.3,2.8,4.8,2.2
"0767 Markaryd","2010",27.4,9.6,3.5,10.1,3.6,33.2,2.8,9.2,0.6
"0780 Växjö","2002",15.9,7.6,12.3,10.0,4.9,38.8,8.2,1.5,0.8
"0780 Växjö","2006",26.7,8.7,7.2,7.7,5.5,33.9,5.5,2.8,2.0
"0780 Växjö","2010",31.6,7.5,7.1,5.9,7.7,28.8,5.2,5.1,1.0
"0781 Ljungby","2002",12.2,14.4,8.5,12.9,3.9,39.5,6.5,1.2,0.9
"0781 Ljungby","2006",23.2,14.0,5.0,9.1,3.5,35.8,4.5,3.2,1.6
"0781 Ljungby","2010",27.9,12.8,5.1,7.1,5.1,30.7,4.3,6.1,0.9
"0821 Högsby","2002",9.6,12.8,5.3,14.3,2.3,46.1,8.2,0.8,0.5
"0821 Högsby","2006",15.8,14.7,4.2,7.1,2.1,44.7,5.1,5.2,1.1
"0821 Högsby","2010",21.3,11.3,3.4,6.1,3.7,41.3,4.3,7.5,1.1
"0834 Torsås","2002",13.1,19.2,6.5,12.9,3.5,39.1,4.5,0.6,0.6
"0834 Torsås","2006",20.5,17.5,3.8,8.9,3.2,37.0,3.1,4.0,2.1
"0834 Torsås","2010",25.3,14.5,3.6,6.0,4.6,34.0,3.8,7.2,0.8
"0840 Mörbylånga","2002",15.3,13.2,10.5,12.0,3.9,37.7,6.4,0.6,0.5
"0840 Mörbylånga","2006",25.2,13.3,6.0,7.1,4.2,34.9,4.1,3.0,2.0
"0840 Mörbylånga","2010",31.2,11.0,5.8,6.5,6.3,28.1,4.3,5.9,0.9
"0860 Hultsfred","2002",9.1,14.1,5.4,12.3,2.3,46.2,8.2,1.8,0.5
"0860 Hultsfred","2006",16.1,14.1,3.8,8.1,2.9,43.8,5.7,3.7,2.0
"0860 Hultsfred","2010",20.7,11.7,3.7,8.6,4.0,39.1,5.4,6.1,0.8
"0861 Mönsterås","2002",10.4,11.5,7.0,10.2,2.9,47.8,7.9,0.9,1.4
"0861 Mönsterås","2006",17.3,12.3,4.2,6.7,2.8,46.2,5.2,3.7,1.5
"0861 Mönsterås","2010",23.1,10.4,4.3,5.6,4.4,39.4,5.4,6.6,0.9
"0862 Emmaboda","2002",9.8,13.3,5.5,9.9,3.3,50.4,5.8,0.8,1.3
"0862 Emmaboda","2006",17.6,13.9,2.8,7.7,3.5,45.2,4.1,3.2,2.0
"0862 Emmaboda","2010",23.6,11.1,3.0,5.3,4.7,40.3,5.2,5.8,1.1
"0880 Kalmar","2002",15.4,6.1,11.4,9.9,4.7,42.9,7.1,0.7,1.8
"0880 Kalmar","2006",24.8,7.6,6.6,6.5,5.2,39.5,4.8,3.0,2.0
"0880 Kalmar","2010",29.7,6.5,6.2,5.5,7.9,32.9,4.8,5.4,1.1
"0881 Nybro","2002",10.8,11.6,7.0,11.0,2.3,46.8,7.6,0.5,2.6
"0881 Nybro","2006",18.9,12.0,3.6,7.0,2.7,44.3,5.3,3.0,3.2
"0881 Nybro","2010",24.5,9.9,3.6,6.1,4.0,38.6,6.1,5.8,1.4
"0882 Oskarshamn","2002",12.5,5.2,8.3,13.7,3.0,47.7,8.1,1.0,0.5
"0882 Oskarshamn","2006",21.2,6.0,4.9,8.5,2.8,44.3,6.8,4.0,1.6
"0882 Oskarshamn","2010",27.7,4.9,5.7,7.3,4.2,37.2,5.7,6.2,1.0
"0883 Västervik","2002",11.6,9.7,10.9,9.0,3.9,45.0,8.5,0.8,0.5
"0883 Västervik","2006",20.1,9.3,6.3,5.8,4.2,45.3,5.5,2.1,1.5
"0883 Västervik","2010",25.8,7.3,5.5,4.7,5.4,39.9,5.1,5.2,1.1
"0884 Vimmerby","2002",11.0,18.3,6.4,12.7,3.2,41.2,6.1,0.8,0.4
"0884 Vimmerby","2006",18.6,17.2,4.1,8.3,3.5,39.5,4.1,3.1,1.7
"0884 Vimmerby","2010",25.6,12.4,3.9,6.3,4.6,35.6,4.2,6.3,1.0
"0885 Borgholm","2002",16.0,21.3,8.7,14.5,4.0,28.6,5.7,0.5,0.8
"0885 Borgholm","2006",26.2,21.5,4.5,8.0,4.0,26.8,3.8,3.5,1.8
"0885 Borgholm","2010",31.7,16.8,5.0,7.3,6.2,23.3,3.6,5.2,1.0
"0980 Gotland","2002",14.0,15.6,7.9,6.5,5.5,40.8,8.5,0.6,0.5
"0980 Gotland","2006",21.6,19.3,4.3,3.8,6.3,34.9,6.0,1.6,2.3
"0980 Gotland","2010",25.2,14.6,4.6,2.9,8.4,33.3,6.1,3.2,1.7
"1060 Olofström","2002",8.2,6.3,9.4,9.0,2.8,51.9,8.7,3.2,0.4
"1060 Olofström","2006",14.5,6.9,5.3,5.2,2.4,51.6,6.3,6.1,1.6
"1060 Olofström","2010",18.9,6.1,3.7,4.5,3.6,47.0,5.6,9.8,0.8
"1080 Karlskrona","2002",13.8,6.1,12.4,9.9,4.0,43.7,7.2,2.6,0.3
"1080 Karlskrona","2006",23.6,7.1,7.5,5.8,4.1,40.0,4.5,5.9,1.6
"1080 Karlskrona","2010",28.7,5.6,6.5,4.3,5.6,35.3,4.4,8.9,0.8
"1081 Ronneby","2002",12.7,7.3,10.6,7.8,3.8,45.6,9.0,3.0,0.2
"1081 Ronneby","2006",21.4,9.0,5.9,4.5,3.4,41.7,6.2,5.9,2.1
"1081 Ronneby","2010",26.8,7.5,4.7,3.5,5.0,34.7,5.9,10.9,1.0
