"valår","region","Moderaterna","Centerpartiet","Folkpartiet","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"2002","Karlshamn",11.6,5.4,10.3,7.5,4.6,47.4,10.3,2.7,0.2
"2002","Sölvesborg",18.6,5.1,9.4,8.7,3.0,45.1,7.1,2.7,0.4
"2002","Svalöv",15.2,12.7,9.6,7.3,2.8,41.0,4.1,4.9,2.3
"2002","Staffanstorp",20.7,3.9,14.7,7.0,2.4,41.7,3.3,3.6,2.7
"2002","Burlöv",14.2,2.3,11.9,5.2,2.7,48.2,6.3,6.5,2.6
"2002","Vellinge",38.6,2.3,18.4,7.9,1.9,23.8,1.4,3.3,2.3
"2002","Östra Göinge",12.5,7.0,7.8,9.4,3.4,49.1,7.3,2.1,1.4
"2002","Örkelljunga",17.8,7.3,10.1,21.4,2.5,32.0,3.7,3.0,2.2
"2002","Bjuv",12.9,3.7,8.6,7.3,2.2,53.3,5.9,5.0,1.2
"2002","Kävlinge",18.1,4.3,13.8,6.4,2.6,43.0,4.1,6.0,1.6
"2002","Lomma",26.7,2.5,19.9,7.7,3.1,32.0,2.6,3.4,2.1
"2002","Svedala",16.6,4.0,13.5,6.9,2.5,44.5,3.8,6.3,1.9
"2002","Skurup",17.6,9.5,11.2,7.1,2.6,39.9,4.8,5.7,1.6
"2002","Sjöbo",18.4,10.8,9.1,9.3,2.8,36.7,4.8,5.0,3.2
"2002","Hörby",14.6,14.3,11.5,10.1,3.5,33.6,3.6,5.6,3.2
"2002","Höör",17.0,7.7,13.1,9.1,4.7,35.4,4.9,4.4,3.6
"2002","Tomelilla",18.4,12.0,9.7,8.1,3.2,37.4,5.3,5.0,0.9
"2002","Bromölla",9.3,3.8,7.7,7.0,2.9,56.4,8.7,3.4,0.7
"2002","Osby",10.9,9.1,8.3,11.4,3.2,46.0,7.2,3.0,0.8
"2002","Perstorp",15.8,7.2,10.8,9.3,2.2,42.9,7.7,1.7,2.5
"2002","Klippan",18.9,7.3,9.3,11.8,2.7,40.5,4.5,2.7,2.2
"2002","Åstorp",17.8,4.4,8.5,9.7,2.2,47.3,5.3,3.8,1.1
"2002","Båstad",27.1,11.3,15.4,14.9,3.6,21.4,3.1,2.5,0.6
"2002","Malmö",16.5,1.2,13.8,5.3,4.3,42.4,7.6,3.8,5.3
"2002","Lund",16.9,3.3,20.6,5.7,7.2,34.2,9.1,1.7,1.2
"2002","Landskrona",16.4,2.2,13.6,5.7,2.5,44.4,6.3,6.2,2.7
"2002","Helsingborg",18.8,2.1,15.1,8.4,3.6,39.0,5.9,4.0,3.0
"2002","Höganäs",22.8,4.0,16.2,11.5,3.6,32.7,4.7,2.7,1.8
"2002","Eslöv",14.1,9.4,10.8,5.9,3.2,45.6,5.2,4.5,1.3
"2002","Ystad",19.7,5.9,11.6,6.4,2.9,44.0,4.6,2.9,1.8
"2002","Trelleborg",15.0,4.1,9.8,7.1,2.8,48.1,4.1,4.9,4.0
"2002","Kristianstad",16.7,4.9,14.0,9.1,3.8,41.6,5.9,2.3,1.6
"2002","Simrishamn",19.8,9.0,11.9,9.1,3.9,35.7,6.7,2.5,1.4
"2002","Ängelholm",24.0,5.8,13.6,12.4,3.8,31.9,4.0,2.3,2.1
