år,region,inkomst
2006,0181 Södertälje,159
2006,0182 Nacka,209.4
2006,0183 Sundbyberg,186.1
2006,0184 Solna,198.6
2006,0186 Lidingö,247.1
2006,0187 Vaxholm,197
2006,0188 Norrtälje,159.4
2006,0191 Sigtuna,172
2006,0192 Nynäshamn,166.3
2006,0305 Håbo,178.6
2006,0319 Älvkarleby,159
2006,0330 Knivsta,182.7
2006,0331 Heby,142.5
2006,0360 Tierp,146.5
2006,0380 Uppsala,170.6
2006,0381 Enköping,159.1
2006,0382 Östhammar,161.9
2006,0428 Vingåker,143.2
2006,0461 Gnesta,157.6
2006,0480 Nyköping,168.3
2006,0481 Oxelösund,176.4
2006,0482 Flen,148.9
2006,0483 Katrineholm,153.3
2006,0484 Eskilstuna,156.9
2006,0486 Strängnäs,171.5
2006,0488 Trosa,180.9
2006,0509 Ödeshög,139.1
2006,0512 Ydre,143.1
2006,0513 Kinda,145.3
2006,0560 Boxholm,150.6
2006,0561 Åtvidaberg,150.4
2006,0562 Finspång,163
2006,0563 Valdemarsvik,140.4
2006,0580 Linköping,167.6
2006,0581 Norrköping,157.1
2006,0582 Söderköping,157.2
2006,0583 Motala,154.7
2006,0584 Vadstena,159.6
2006,0586 Mjölby,153.5
2006,0604 Aneby,146.7
2006,0617 Gnosjö,166.1
2006,0642 Mullsjö,153.6
2006,0643 Habo,157.9
2006,0662 Gislaved,158.3
2006,0665 Vaggeryd,157.4
2006,0680 Jönköping,165.3
2006,0682 Nässjö,155.4
2006,0683 Värnamo,165.7
2006,0684 Sävsjö,142.2
2006,0685 Vetlanda,155.8
2006,0686 Eksjö,157.9
2006,0687 Tranås,151.7
2006,0760 Uppvidinge,142.8
2006,0761 Lessebo,148.9
2006,0763 Tingsryd,146.5
2006,0764 Alvesta,152.6
2006,0765 Älmhult,169.6
2006,0767 Markaryd,149.2
2006,0780 Växjö,166.6
2006,0781 Ljungby,158.5
2006,0821 Högsby,135.6
2006,0834 Torsås,142.5
2006,0840 Mörbylånga,151.4
2006,0860 Hultsfred,142
2006,0861 Mönsterås,153.4
2006,0862 Emmaboda,157.6
2006,0880 Kalmar,161.7
2006,0881 Nybro,151.3
2006,0882 Oskarshamn,167.7
2006,0883 Västervik,154.6
2006,0884 Vimmerby,150.8
2006,0885 Borgholm,136.4
2006,0980 Gotland,143.4
2006,1060 Olofström,161.3
2006,1080 Karlskrona,163.7
2006,1081 Ronneby,157.2
2006,1082 Karlshamn,162.3
2006,1083 Sölvesborg,154.8
2006,1214 Svalöv,143.6
2006,1230 Staffanstorp,175.9
2006,1231 Burlöv,151.2
2006,1233 Vellinge,197.3
2006,1256 Östra Göinge,148.6
2006,1257 Örkelljunga,141.3
2006,1260 Bjuv,143.8
2006,1261 Kävlinge,173.4
2006,1262 Lomma,206.7
2006,1263 Svedala,164.5
2006,1264 Skurup,148.8
2006,1265 Sjöbo,140.2
2006,1266 Hörby,140.7
2006,1267 Höör,149.2
2006,1270 Tomelilla,139.7
2006,1272 Bromölla,159.5
2006,1273 Osby,151.9
2006,1275 Perstorp,150.9
2006,1276 Klippan,144.7
2006,1277 Åstorp,142.9
2006,1278 Båstad,164.7
2006,1280 Malmö,146.8
2006,1281 Lund,170
2006,1282 Landskrona,145.6
2006,1283 Helsingborg,165.8
2006,1284 Höganäs,174.8
2006,1285 Eslöv,149.7
2006,1286 Ystad,161.2
2006,1287 Trelleborg,153.3
2006,1290 Kristianstad,156.7
2006,1291 Simrishamn,148.5
2006,1292 Ängelholm,165.6
2006,1293 Hässleholm,150.1
2006,1315 Hylte,147.8
2006,1380 Halmstad,160
2006,1381 Laholm,145.8
2006,1382 Falkenberg,148.5
2006,1383 Varberg,159.7
2006,1384 Kungsbacka,186.4
2006,1401 Härryda,182.9
2006,1402 Partille,180.3
2006,1407 Öckerö,170
2006,1415 Stenungsund,173.4
2006,1419 Tjörn,175
2006,1421 Orust,161.1
2006,1427 Sotenäs,162.6
2006,1430 Munkedal,147.3
2006,1435 Tanum,146.4
2006,1438 Dals-Ed,137.9
2006,1439 Färgelanda,143.2
2006,1440 Ale,162.8
2006,1441 Lerum,178.3
2006,1442 Vårgårda,149.9
2006,1443 Bollebygd,169.2
2006,1444 Grästorp,150.2
2006,1445 Essunga,147.1
2006,1446 Karlsborg,156.1
2006,1447 Gullspång,140.1
2006,1452 Tranemo,156.4
2006,1460 Bengtsfors,144.3
2006,1461 Mellerud,138.1
2006,1462 Lilla Edet,153.7
2006,1463 Mark,151.3
2006,1465 Svenljunga,146.6
2006,1466 Herrljunga,150.6
2006,1470 Vara,145.2
2006,1471 Götene,152.7
2006,1472 Tibro,151.6
2006,1473 Töreboda,137.1
2006,1480 Göteborg,173
2006,1481 Mölndal,182.6
2006,1482 Kungälv,175.9
2006,1484 Lysekil,161.3
2006,1485 Uddevalla,158.9
2006,1486 Strömstad,146.7
2006,1487 Vänersborg,163.8
2006,1488 Trollhättan,166.1
2006,1489 Alingsås,164.6
2006,1490 Borås,160.4
2006,1491 Ulricehamn,153.9
2006,1492 Åmål,151.5
2006,1493 Mariestad,155.4
2006,1494 Lidköping,161.3
2006,1495 Skara,157.9
2006,1496 Skövde,164.9
2006,1497 Hjo,151.9
2006,1498 Tidaholm,147.4
2006,1499 Falköping,149.5
2006,1715 Kil,151.6
2006,1730 Eda,136.2
2006,1737 Torsby,144.1
2006,1760 Storfors,151.1
2006,1761 Hammarö,178.9
2006,1762 Munkfors,149.1
2006,1763 Forshaga,149.8
2006,1764 Grums,157.5
2006,1765 Årjäng,132.9
2006,1766 Sunne,144.8
2006,1780 Karlstad,168.4
2006,1781 Kristinehamn,158.1
2006,1782 Filipstad,149
2006,1783 Hagfors,152.5
2006,1784 Arvika,152.1
2006,1785 Säffle,146.9
2006,1814 Lekeberg,150.5
2006,1860 Laxå,158
2006,1861 Hallsberg,154.6
2006,1862 Degerfors,159.5
2006,1863 Hällefors,152.1
2006,1864 Ljusnarsberg,143
2006,1880 Örebro,160.9
2006,1881 Kumla,156.3
2006,1882 Askersund,157.1
